article_id,article_v_id,rel
1114626,1140533.0,version
1114627,1140534.0,version
1114628,1140535.0,version
1114629,1140536.0,version
1114630,1140537.0,version
1114631,1140538.0,version
1114632,1140539.0,version
1114633,1140540.0,version
1114634,1140541.0,version
1114635,1140542.0,version
1114643,1140543.0,version
1114644,1140544.0,version
1114645,1140545.0,version
1114646,1140546.0,version
1114647,1140547.0,version
1114648,1140548.0,version
1114649,1140549.0,version
1114650,1140550.0,version
1114651,1140551.0,version
1114652,1140552.0,version
1114653,1140553.0,version
1114654,1140554.0,version
1114655,1140555.0,version
1114656,1140556.0,version
1114657,1140557.0,version
1114658,1140558.0,version
1114659,1140559.0,version
1114660,1140560.0,version
1114661,1140561.0,version
1114662,1140562.0,version
1114663,1140563.0,version
1114664,1140564.0,version
1114665,1140565.0,version
1114666,1140566.0,version
1114667,1140567.0,version
1114668,1140568.0,version
1114669,1140569.0,version
1114670,1140570.0,version
1114671,1140571.0,version
1114672,1140572.0,version
1114673,1140573.0,version
1114674,1140574.0,version
1114675,1140575.0,version
1114676,1140576.0,version
1114677,1140577.0,version
1114678,1140578.0,version
1114679,1140579.0,version
1114680,1140580.0,version
1114681,1140581.0,version
1114682,1140582.0,version
1114683,1140583.0,version
1114684,1140584.0,version
1114685,1140585.0,version
1114686,1140586.0,version
1114687,1140587.0,version
1114688,1140588.0,version
1114689,1140589.0,version
1114690,1140590.0,version
1114691,1140591.0,version
1114692,1140592.0,version
1114693,1140593.0,version
1114694,1140594.0,version
1114695,1140595.0,version
1114696,1140596.0,version
1114697,1140597.0,version
1114698,1140598.0,version
1114699,1140599.0,version
1114700,1140600.0,version
1114701,1140601.0,version
1114702,1140602.0,version
1114703,1140603.0,version
1114704,1140605.0,version
1114705,1140606.0,version
1114706,1140607.0,version
1114707,1140609.0,version
1114708,1140610.0,version
1114709,1140611.0,version
1114710,1140613.0,version
1114711,1140614.0,version
1114712,1140615.0,version
1114713,1140617.0,version
1114714,1140618.0,version
1114715,1140619.0,version
1114716,1140620.0,version
1114717,1140621.0,version
1114718,1140622.0,version
1114719,1140623.0,version
1114720,1140624.0,version
1114721,1140625.0,version
1114722,1140626.0,version
1114723,1140627.0,version
1114724,1140628.0,version
1114725,1140629.0,version
1114726,1140630.0,version
1114727,1140631.0,version
1114728,1140632.0,version
1114729,1140634.0,version
1114730,1140635.0,version
1114731,1140637.0,version
1114732,1140636.0,version
1114733,1140638.0,version
1114734,1140639.0,version
1114735,1140641.0,version
1114736,1140643.0,version
1114737,1140642.0,version
1114738,1140644.0,version
1114739,1140645.0,version
1114740,1140646.0,version
1114741,1140647.0,version
1114742,1140225.0,version
1114743,1140226.0,version
1114744,1140227.0,version
1114745,1140228.0,version
1114746,1140229.0,version
1114747,1140230.0,version
1114748,1140231.0,version
1114749,1140222.0,version
1114750,1140223.0,version
1114751,1140224.0,version
1114752,1140232.0,version
1114753,1140233.0,version
1114754,1140234.0,version
1114755,1140235.0,version
1114756,1140236.0,version
1114757,1140237.0,version
1114758,1140238.0,version
1114759,1140239.0,version
1114760,1140240.0,version
1114761,1140241.0,version
1114762,1140242.0,version
1114763,1140243.0,version
1114764,1140244.0,version
1114765,1140245.0,version
1114767,1140246.0,version
1114768,1140248.0,version
1114769,1140249.0,version
1114772,1140252.0,version
1114773,1140254.0,version
1074177,1079162.0,version
1074181,1079166.0,version
1074182,1079167.0,version
1074183,1079168.0,version
1074184,1079169.0,version
1074185,1079170.0,version
1074186,1079171.0,version
1074187,1079172.0,version
1074188,1079173.0,version
1074189,1079174.0,version
1074190,1079175.0,version
1074191,1079176.0,version
1074192,1079177.0,version
1074193,1079178.0,version
1074194,1079179.0,version
1074195,1079180.0,version
1074196,1079181.0,version
1074197,1079182.0,version
1074198,1079183.0,version
1074199,1079184.0,version
1074200,1079185.0,version
1074201,1079186.0,version
1074202,1079187.0,version
1074203,1079188.0,version
1074204,1079189.0,version
1074205,1079190.0,version
1074206,1079191.0,version
1074207,1079192.0,version
1074208,1079193.0,version
1074209,1079194.0,version
1074210,1079195.0,version
1074211,1079196.0,version
1074212,1079197.0,version
1074213,1079198.0,version
1074214,1079199.0,version
1074215,1079200.0,version
1074216,1079201.0,version
1074217,1079202.0,version
1074218,1079203.0,version
1074219,1079204.0,version
1074220,1079205.0,version
1074221,1079206.0,version
1074222,1079207.0,version
1074223,1079208.0,version
1074224,1079209.0,version
1074225,1079210.0,version
1074226,1079211.0,version
1074227,1079212.0,version
1074228,1079213.0,version
1074229,1079214.0,version
1074230,1079215.0,version
1074231,1079216.0,version
1074232,1079217.0,version
1074233,1079218.0,version
1074234,1079219.0,version
1074235,1079220.0,version
1074236,1079163.0,version
1074237,1079164.0,version
1074238,1079165.0,version
1053002,1053002.0,version
1052664,1126988.0,version
1052926,1052926.0,version
1129066,1161310.0,version
1000965,1000965.0,version
1001109,1001109.0,version
1005394,1005394.0,version
1005397,1005397.0,version
1006441,1006441.0,version
1007141,1007141.0,version
1008656,1008656.0,version
1008671,1008671.0,version
1008672,1008672.0,version
1008673,1008673.0,version
1254004,1365450.0,version
1254005,1365451.0,version
1254006,1365452.0,version
1254007,1365453.0,version
1254008,1365454.0,version
1254009,1365455.0,version
1254014,1365507.0,version
1254015,1365508.0,version
1254017,1365686.0,version
1254020,1365689.0,version
1254034,1365703.0,version
1254037,1366295.0,version
1254038,1366296.0,version
1254042,1366300.0,version
1254043,1366301.0,version
1254656,1366472.0,version
1254947,1366969.0,version
1008692,1008692.0,version
1165732,1218112.0,version
1165733,1218113.0,version
1165734,1218114.0,version
1165735,1218115.0,version
1165736,1218116.0,version
1165737,1218117.0,version
1165738,1218118.0,version
1165739,1218119.0,version
1165740,1218120.0,version
1165741,1218121.0,version
1165742,1218122.0,version
1165743,1218123.0,version
1165744,1218124.0,version
1165745,1218125.0,version
1165746,1218126.0,version
1165747,1218127.0,version
1165748,1218128.0,version
1165749,1218129.0,version
1165750,1218130.0,version
1165751,1218131.0,version
1165753,1218133.0,version
1165754,1218134.0,version
1165755,1218135.0,version
1165756,1218136.0,version
1165757,1218137.0,version
1165758,1218138.0,version
1165759,1218139.0,version
1165760,1218140.0,version
1165761,1218141.0,version
1165762,1218142.0,version
1165763,1218143.0,version
1165764,1218144.0,version
