id,date,year,month,day
3565,1994-12-21,1994,12,21
3566,1991-10-30,1991,10,30
3567,1991-10-16,1991,10,16
3568,1991-06-12,1991,6,12
3569,1991-09-25,1991,9,25
3570,1994-12-14,1994,12,14
3571,1991-07-10,1991,7,10
3572,1991-07-24,1991,7,24
3573,1991-07-24,1991,7,24
3574,1995-03-08,1995,3,8
3575,1995-03-22,1995,3,22
3576,1991-03-20,1991,3,20
3577,1991-04-03,1991,4,3
3578,1989-12-22,1989,12,22
3579,1995-05-24,1995,5,24
3580,1995-04-05,1995,4,5
3581,1995-12-22,1995,12,22
3582,1995-11-28,1995,11,28
3583,1989-09-06,1989,9,6
3584,1987-09-16,1987,9,16
3585,1989-06-28,1989,6,28
3586,1988-12-07,1988,12,7
3587,1996-03-11,1996,3,11
3588,1996-04-29,1996,4,29
3589,1996-05-14,1996,5,14
3590,1996-06-28,1996,6,28
3591,1996-07-26,1996,7,26
3592,1996-07-31,1996,7,31
3593,1996-07-24,1996,7,24
3594,1996-10-31,1996,10,31
3595,1996-11-19,1996,11,19
3596,1996-12-19,1996,12,19
3597,1996-12-17,1996,12,17
3598,1997-01-07,1997,1,7
3599,1997-01-17,1997,1,17
3600,1997-07-01,1997,7,1
3601,1997-11-25,1997,11,25
3602,1997-02-25,1997,2,25
3603,1998-03-17,1998,3,17
3604,1998-04-28,1998,4,28
3605,1998-06-23,1998,6,23
3606,1998-09-24,1998,9,24
3607,1998-09-22,1998,9,22
3608,1998-10-15,1998,10,15
3609,1998-07-07,1998,7,7
3610,1998-12-01,1998,12,1
3611,1998-12-01,1998,12,1
3612,1999-03-23,1999,3,23
3613,1999-03-23,1999,3,23
3614,1999-03-23,1999,3,23
3615,1999-03-30,1999,3,30
3616,1999-04-30,1999,4,30
3617,1999-05-18,1999,5,18
3618,1999-04-13,1999,4,13
3619,1999-05-18,1999,5,18
3620,1999-06-08,1999,6,8
3621,2000-05-26,2000,5,26
3622,2000-11-17,2000,11,17
3623,2000-12-22,2000,12,22
3624,2001-01-19,2001,1,19
3625,2001-03-23,2001,3,23
3626,2001-04-27,2001,4,27
3627,2001-04-27,2001,4,27
3628,2001-04-27,2001,4,27
3629,2001-04-27,2001,4,27
3630,2001-05-18,2001,5,18
3631,2001-07-24,2001,7,24
3632,2001-07-13,2001,7,13
3633,2001-09-07,2001,9,7
3634,2001-12-07,2001,12,7
3635,2001-12-07,2001,12,7
3636,2002-01-11,2002,1,11
3637,2002-02-01,2002,2,1
